Date,X2
10-Jul-01,85.059
11-Jul-01,84.686
12-Jul-01,84.138
13-Jul-01,83.866
14-Jul-01,83.964
15-Jul-01,84.89
16-Jul-01,85.523
17-Jul-01,85.923
18-Jul-01,86.58
19-Jul-01,87.296
20-Jul-01,87.718
21-Jul-01,87.884
22-Jul-01,87.896
23-Jul-01,87.891
24-Jul-01,87.981
25-Jul-01,87.687
26-Jul-01,87.156
27-Jul-01,86.87
28-Jul-01,86.732
29-Jul-01,86.949
30-Jul-01,87.02
31-Jul-01,87.618
1-Aug-01,87.952
2-Aug-01,88.158
3-Aug-01,88.671
4-Aug-01,88.682
5-Aug-01,88.462
6-Aug-01,88.051
7-Aug-01,88.141
8-Aug-01,88.507
9-Aug-01,88.486
10-Aug-01,87.919
11-Aug-01,87.9
12-Aug-01,87.968
13-Aug-01,87.895
14-Aug-01,88.284
15-Aug-01,88.632
16-Aug-01,89.033
17-Aug-01,89.612
18-Aug-01,89.916
19-Aug-01,90.408
20-Aug-01,90.595
21-Aug-01,90.288
22-Aug-01,89.853
23-Aug-01,89.463
24-Aug-01,89.499
25-Aug-01,89.654
26-Aug-01,89.537
27-Aug-01,89.407
28-Aug-01,89.965
29-Aug-01,90.366
30-Aug-01,90.295
31-Aug-01,90.224
1-Sep-01,90.366
2-Sep-01,90.539
3-Sep-01,90.431
4-Sep-01,90.494
5-Sep-01,90.337
6-Sep-01,90.213
7-Sep-01,90.276
8-Sep-01,90.566
9-Sep-01,90.561
10-Sep-01,90.674
11-Sep-01,90.674
12-Sep-01,90.802
13-Sep-01,90.733
14-Sep-01,90.793
15-Sep-01,91.304
16-Sep-01,91.652
17-Sep-01,91.861
18-Sep-01,92.299
19-Sep-01,92.68
20-Sep-01,92.506
21-Sep-01,92.232
22-Sep-01,92.294
23-Sep-01,92.156
24-Sep-01,91.917
25-Sep-01,91.747
26-Sep-01,91.584
27-Sep-01,91.434
28-Sep-01,91.207
29-Sep-01,91.201
30-Sep-01,91.96
1-Oct-01,92.018
2-Oct-01,91.666
3-Oct-01,91.757
4-Oct-01,91.742
5-Oct-01,91.823
6-Oct-01,91.745
7-Oct-01,91.421
8-Oct-01,91.31
9-Oct-01,91.431
10-Oct-01,91.13
11-Oct-01,90.755
12-Oct-01,90.459
13-Oct-01,91.019
14-Oct-01,91.843
15-Oct-01,92.218
16-Oct-01,92.274
17-Oct-01,92.591
18-Oct-01,92.763
19-Oct-01,92.783
20-Oct-01,92.609
21-Oct-01,92.157
22-Oct-01,91.361
23-Oct-01,90.372
24-Oct-01,89.762
25-Oct-01,89.733
26-Oct-01,89.959
27-Oct-01,90.015
28-Oct-01,90.2
29-Oct-01,90.12
30-Oct-01,91.249
31-Oct-01,90.881
1-Nov-01,91.031
2-Nov-01,91.277
3-Nov-01,91.146
4-Nov-01,91.097
5-Nov-01,91.142
6-Nov-01,90.579
7-Nov-01,89.464
8-Nov-01,89.105
9-Nov-01,89.124
10-Nov-01,89.374
11-Nov-01,90.138
12-Nov-01,90.718
13-Nov-01,90.149
14-Nov-01,89.936
15-Nov-01,90.468
16-Nov-01,90.712
17-Nov-01,90.037
18-Nov-01,89.843
19-Nov-01,89.443
20-Nov-01,88.732
21-Nov-01,88.297
22-Nov-01,86.803
23-Nov-01,85.61
24-Nov-01,87.003
25-Nov-01,85.256
26-Nov-01,84.636
27-Nov-01,84.764
28-Nov-01,85.793
29-Nov-01,87.758
30-Nov-01,86.307
1-Dec-01,86.126
2-Dec-01,85.353
3-Dec-01,81.146
4-Dec-01,77.488
5-Dec-01,74.356
6-Dec-01,70.307
7-Dec-01,68
8-Dec-01,67.391
9-Dec-01,65.936
10-Dec-01,65.044
11-Dec-01,64.054
12-Dec-01,63.962
13-Dec-01,64.109
14-Dec-01,64.737
15-Dec-01,63.404
16-Dec-01,63.228
17-Dec-01,62.897
18-Dec-01,61.674
19-Dec-01,61.829
20-Dec-01,61.85
21-Dec-01,58.226
22-Dec-01,58.818
23-Dec-01,57.915
24-Dec-01,58.162
25-Dec-01,58.965
26-Dec-01,60.054
27-Dec-01,61.631
28-Dec-01,62.238
29-Dec-01,62.677
30-Dec-01,62.328
31-Dec-01,61.667
1-Jan-02,61.314
2-Jan-02,60.019
3-Jan-02,57.788
4-Jan-02,57.031
5-Jan-02,56.136
6-Jan-02,55.687
7-Jan-02,55.68
8-Jan-02,56.078
9-Jan-02,56.303
10-Jan-02,57.11
11-Jan-02,57.673
12-Jan-02,57.432
13-Jan-02,57.845
14-Jan-02,57.177
15-Jan-02,56.617
16-Jan-02,55.986
17-Jan-02,55.613
18-Jan-02,55.235
19-Jan-02,54.85
20-Jan-02,54.456
21-Jan-02,54.718
22-Jan-02,54.762
23-Jan-02,55.094
24-Jan-02,56.029
25-Jan-02,57.776
26-Jan-02,58.598
27-Jan-02,58.044
28-Jan-02,57.916
29-Jan-02,57.387
30-Jan-02,56.939
31-Jan-02,56.629
1-Feb-02,57.301
2-Feb-02,58.274
3-Feb-02,59.044
4-Feb-02,60.317
5-Feb-02,61.493
6-Feb-02,62.761
7-Feb-02,64.235
8-Feb-02,63.872
